UNIPROT	gene_name	mf	method	final_score
Q13574	DGKZ	kin	proteoscore	-0.495621
Q9UBM7	DHCR7	other	PhosphoScore	-2.33336
P00374	DHFR	other	proteoscore	1.70218
Q02127	DHODH	other	proteoscore	0.996055
P49366	DHPS	other	proteoscore	-0.719018
O60231	DHX16	other	proteoscore	-0.619348
Q7L2E3	DHX30	other	proteoscore	-2.34556
Q9H6R0	DHX33	other	proteoscore	0.49370000000000003
Q9H2U1	DHX36	other	proteoscore	0.239041
Q08211	DHX9	tf	proteoscore	-1.20353
Q9NR28	DIABLO	other	proteoscore	-1.28012
O60610	DIAPH1	other	proteoscore	-0.27434
O60879	DIAPH2	other	proteoscore	5.09615
Q9UPY3	DICER1	other	proteoscore	0.913563
Q14689	DIP2A	other	proteoscore	-1.82386
P10515	DLAT	other	proteoscore	-1.39095
P09622	DLD	other	proteoscore	-1.31072
Q12959	DLG1	kin	proteoscore	1.33219
Q15398	DLGAP5	other	proteoscore	0.675673
P80370	DLK1	other	proteoscore	-1.93002
P36957	DLST	other	proteoscore	0.941227
P11532	DMD	other	proteoscore	-1.24685
P25685	DNAJB1	tf	proteoscore	-0.951614
Q9NXW2	DNAJB12	other	proteoscore	-0.51559
Q96DA6	DNAJC19	other	proteoscore	-1.96287
Q13217	DNAJC3	other	proteoscore	0.781676
O75061	DNAJC6	phos	proteoscore	0.415346
Q05193	DNM1	other	proteoscore	-1.43731
P50570	DNM2	other	proteoscore	-0.74043
P26358;P26358	DNMT1	other	proteoscore	0.887995
Q9Y6K1	DNMT3A	tf	proteoscore	3.39343
Q9UBC3	DNMT3B	tf	proteoscore	1.29149
Q92608	DOCK2	other	proteoscore	1.70306
Q96N67	DOCK7	other	proteoscore	-2.57724
Q8NF50	DOCK8	other	proteoscore	1.34672
Q99704	DOK1	other	proteoscore	1.03055
Q7L591	DOK3	other	proteoscore	1.6654
O60762	DPM1	other	proteoscore	-0.528443
Q9P2X0	DPM3	other	proteoscore	-0.60917
Q9C005	DPY30	other	proteoscore	3.07883
Q16555;NP_001184222	DPYSL2	other	proteoscore	3.32009
Q9H410	DSN1	other	proteoscore	-2.10124
Q03001	DST	other	proteoscore	-1.91011
P60981	DSTN	other	proteoscore	0.572145
Q96EV8	DTNBP1	other	proteoscore	-1.65157
Q86UW9	DTX2	other	proteoscore	-1.50888
P23919	DTYMK	kin	proteoscore	0.187748
P51452	DUSP3	phos	proteoscore	0.937987
Q13115	DUSP4	phos	proteoscore	3.80136
O14641	DVL2	other	proteoscore	0.580107
Q92997	DVL3	other	proteoscore	-1.37611
Q14204	DYNC1H1	other	proteoscore	-0.28985
Q13409	DYNC1I2	other	proteoscore	-0.416203
Q9Y6G9	DYNC1LI1	other	proteoscore	-0.541965
P63167	DYNLL1	other	proteoscore	-0.728901
Q96FJ2	DYNLL2	other	proteoscore	0.56586
Q9NP97	DYNLRB1	other	proteoscore	-1.06893
Q13627	DYRK1A	kin	VIPER	-0.03262269779518827
Q9Y463	DYRK1B	kin	PhosphoScore	-2.39909
Q9NR20	DYRK4	kin	VIPER	-0.3725994192209745
O00716	E2F3	tf	proteoscore	0.673874
Q16254	E2F4	tf	proteoscore	1.07291
Q66K89	E4F1	tf	proteoscore	-1.4494
Q96JC9	EAF1	tf	proteoscore	1.24305
Q5JPH6	EARS2	other	proteoscore	-1.51668
P42892;P42892	ECE1	other	proteoscore	-1.55437
Q9H8V3	ECT2	other	proteoscore	0.840269
Q15075	EEA1	other	proteoscore	-0.641443
Q05639	EEF1A2	other	proteoscore	-2.1157
P24534	EEF1B2	other	proteoscore	0.905854
P29692	EEF1D	other	proteoscore	0.281551
O43324	EEF1E1	other	proteoscore	-0.932312
P26641	EEF1G	other	proteoscore	0.568382
P13639	EEF2	other	PhosphoScore	2.19731
O00418	EEF2K	kin	PhosphoScore	5.29315
Q14156	EFR3A	other	proteoscore	1.41489
Q15029	EFTUD2	other	proteoscore	-0.468481
Q9GZT9	EGLN1	other	PhosphoScore	-3.57441
Q9H9B1	EHMT1	other	proteoscore	-0.352744
Q96KQ7	EHMT2	other	proteoscore	-0.275793
P41567	EIF1	other	proteoscore	-1.43548
P47813	EIF1AX	other	proteoscore	-0.208799
O60739	EIF1B	other	proteoscore	-1.84121
P19525	EIF2AK2	kin	proteoscore	-3.04509
Q9P2K8	EIF2AK4	kin	proteoscore	-1.31502
Q14232	EIF2B1	other	proteoscore	-0.958959
Q9NR50	EIF2B3	other	proteoscore	-0.483156
P05198	EIF2S1	other	proteoscore	0.285962
P41091	EIF2S3	other	proteoscore	-0.434902
Q14152	EIF3A	other	proteoscore	0.656851
Q99613	EIF3C	other	proteoscore	1.75776
O15371	EIF3D	other	proteoscore	0.653754
P60228	EIF3E	other	proteoscore	0.556271
O00303	EIF3F	other	proteoscore	0.472039
O15372	EIF3H	other	proteoscore	0.58619
O75822	EIF3J	other	proteoscore	-0.487967
Q9UBQ5	EIF3K	other	proteoscore	-0.165645
Q9Y262	EIF3L	other	proteoscore	0.689391
Q7L2H7	EIF3M	other	proteoscore	0.203349
P60842	EIF4A1	other	proteoscore	0.423872
Q14240	EIF4A2	other	proteoscore	-3.33062
O60573	EIF4E2	other	proteoscore	0.327322
Q13541	EIF4EBP1	other	PhosphoScore	3.32188
Q9NRA8	EIF4ENIF1	other	proteoscore	1.18485
P78344	EIF4G2	other	proteoscore	-0.277452
O43432	EIF4G3	other	proteoscore	1.09107
Q15056	EIF4H	other	proteoscore	-0.711586
P55010	EIF5	other	proteoscore	-0.712353
P63241	EIF5A	other	proteoscore	0.42861
O60841	EIF5B	other	proteoscore	-0.714414
P56537	EIF6	other	proteoscore	-0.707922
Q15717	ELAVL1	other	proteoscore	0.193441
Q15723	ELF2	tf	proteoscore	-0.851985
P55199	ELL	other	proteoscore	0.247997
Q92556	ELMO1	other	proteoscore	3.58862
Q96JJ3	ELMO2	other	proteoscore	-0.21381
Q9BW60	ELOVL1	other	proteoscore	-3.37392
Q9NYP7	ELOVL5	other	proteoscore	-0.564263
Q6IA86	ELP2	other	proteoscore	0.206126
Q8TE02	ELP5	other	proteoscore	-4.23109
Q0PNE2	ELP6	other	proteoscore	-1.83694
P50402	EMD	other	proteoscore	-1.66291
Q8N8S7	ENAH	other	proteoscore	2.73471
Q14249	ENDOG	other	proteoscore	-5.52463
P06733	ENO1	tf	proteoscore	-1.00957
P09104	ENO2	other	proteoscore	6.92761
P13929	ENO3	other	proteoscore	1.80668
O43768	ENSA	other	proteoscore	-3.74401
Q9NPA8	ENY2	tf	proteoscore	-1.28605
Q09472	EP300	tf	proteoscore	0.485765
P11171	EPB41	other	proteoscore	-1.25374
P16422	EPCAM	other	proteoscore	-2.33285
P54760	EPHB4	kin	proteoscore	-2.11409
Q9Y6I3	EPN1	other	proteoscore	-2.10492
P42566	EPS15	other	proteoscore	-0.31968
P11678	EPX	other	proteoscore	1.16452
Q9NZ08	ERAP1	other	proteoscore	-0.392889
Q8IUD2	ERC1	other	proteoscore	1.24675
P07992	ERCC1	other	proteoscore	0.435857
P18074	ERCC2	other	proteoscore	-1.43128
Q92889	ERCC4	other	proteoscore	0.354108
P28715	ERCC5	other	proteoscore	-0.873449
Q2NKX8	ERCC6L	other	proteoscore	0.523666
Q969X5	ERGIC1	other	proteoscore	1.59669
Q9Y282	ERGIC3	other	proteoscore	0.418441
Q9BS26	ERP44	other	proteoscore	-0.76677
Q14674	ESPL1	other	PhosphoScore	1.36289
P13804	ETFA	other	proteoscore	-0.287027
P38117	ETFB	other	proteoscore	-0.463392
P41212	ETV6	tf	proteoscore	1.79061
Q01844	EWSR1	tf	proteoscore	-0.238336
Q9UQ84	EXO1	other	proteoscore	-1.0638
Q9NV70	EXOC1	other	proteoscore	-0.701839
Q96KP1	EXOC2	other	proteoscore	-0.707834
O60645	EXOC3	other	proteoscore	-0.833474
Q96A65	EXOC4	other	proteoscore	-0.55605
Q8TAG9	EXOC6	other	proteoscore	-0.367982
Q9Y3B2	EXOSC1	other	proteoscore	-0.249693
Q01780	EXOSC10	other	proteoscore	-0.66588
Q13868	EXOSC2	other	proteoscore	-0.393224
Q9NQT5	EXOSC3	other	proteoscore	-0.535114
Q9NPD3	EXOSC4	other	proteoscore	-0.768102
Q9NQT4	EXOSC5	other	proteoscore	-0.693166
Q5RKV6	EXOSC6	other	proteoscore	-0.246217
Q15024	EXOSC7	other	proteoscore	-0.461597
Q96B26	EXOSC8	other	proteoscore	-0.286308
Q06265	EXOSC9	other	proteoscore	-0.642214
P15311	EZR	other	proteoscore	-0.7927
Q9Y624	F11R	other	proteoscore	-3.70033
Q96RI0	F2RL3	other	proteoscore	-0.939202
Q01469	FABP5	other	proteoscore	1.48696
Q13158	FADD	other	proteoscore	0.877587
O60427	FADS1	other	proteoscore	-0.598725
O95864	FADS2	other	proteoscore	0.983411
Q9Y5Q0	FADS3	other	proteoscore	-1.45615
Q9UNN5	FAF1	other	proteoscore	-0.890198
Q96CS3	FAF2	other	proteoscore	-0.812515
Q96A26	FAM162A	other	proteoscore	0.373716
Q8IXL6	FAM20C	kin	VIPER	-0.34149242224070825
Q9UBU6	FAM8A1	other	proteoscore	-0.560706
Q9BXW9	FANCD2	other	proteoscore	-1.75962
Q9NVI1	FANCI	other	proteoscore	-1.32461
O95363	FARS2	other	proteoscore	-1.89192
Q9Y285	FARSA	other	proteoscore	-0.48128
Q9NSD9	FARSB	other	proteoscore	-0.590591
P49327	FASN	other	proteoscore	-0.24412
Q9NYY8	FASTKD2	other	proteoscore	-3.94352
Q7L8L6	FASTKD5	other	proteoscore	-2.8627
P22087	FBL	other	proteoscore	0.37333
Q8WUP2	FBLIM1	other	proteoscore	0.927806
Q9NXK8	FBXL12	other	proteoscore	-2.31398
Q9H469	FBXL15	other	proteoscore	1.53478
Q96ME1	FBXL18	other	proteoscore	-1.0932
Q96IG2	FBXL20	other	proteoscore	-0.297167
Q8NEZ5	FBXO22	other	proteoscore	0.293321
Q9UK99	FBXO3	other	proteoscore	0.467031
Q6PIJ6	FBXO38	other	proteoscore	1.3331
Q9UKT5	FBXO4	other	proteoscore	-0.844667
P0C2W1	FBXO45	other	proteoscore	-0.487235
Q9UKT4	FBXO5	other	proteoscore	-2.69072
Q9NRD1	FBXO6	other	proteoscore	-2.65907
Q9Y3I1	FBXO7	other	proteoscore	-1.29863
Q9UKB1	FBXW11	other	proteoscore	0.56405400000000006
Q8N3Y1	FBXW8	other	proteoscore	-0.977168
P12318	FCGR2A	other	proteoscore	-4.84719
P16591	FER	kin	proteoscore	-1.89038
Q86UX7	FERMT3	other	proteoscore	0.299663
P07332	FES	kin	proteoscore	2.42517
Q5JSP0	FGD3	other	proteoscore	1.20071
P09038	FGF2	tf	proteoscore	-0.760412
P07954	FH	other	proteoscore	-1.20774
Q9Y613	FHOD1	other	proteoscore	-1.8913
Q6UN15	FIP1L1	other	proteoscore	-0.615648
Q9Y3D6	FIS1	other	proteoscore	-0.241551
Q5T1M5	FKBP15	other	proteoscore	0.699278
P62942	FKBP1A	other	proteoscore	0.85476
Q02790	FKBP4	other	proteoscore	0.969894
Q13451	FKBP5	other	proteoscore	-0.845824
Q14318	FKBP8	other	proteoscore	0.619272
Q8NFG4	FLCN	other	PhosphoScore	4.462820000000001
Q01543	FLI1	tf	proteoscore	3.32472
Q13045	FLII	other	proteoscore	0.315768
P21333	FLNA	other	proteoscore	-0.75278
O75369	FLNB	other	proteoscore	-1.17851
P36888	FLT3	kin	proteoscore	4.50212
Q06787	FMR1	other	proteoscore	-1.00958
P02751	FN1	other	proteoscore	0.641871
Q8TF40	FNIP1	other	proteoscore	-0.699178
P15408	FOSL2	tf	proteoscore	-0.952329
O00409	FOXN3	tf	PhosphoScore	2.71846
Q9H334	FOXP1	tf	proteoscore	3.10514
P42685	FRK	kin	proteoscore	1.00354
Q16658	FSCN1	other	proteoscore	-7.44944
P02794	FTH1	other	proteoscore	1.03839
Q9C0B1	FTO	other	proteoscore	1.04575
Q96AE4	FUBP1	other	proteoscore	-0.252828
P09958	FURIN	other	proteoscore	-1.96147
P35637	FUS	tf	proteoscore	-0.452465
Q16595	FXN	other	proteoscore	0.808015
Q9BQS8	FYCO1	other	proteoscore	-1.49788
Q9UM11	FZR1	other	PhosphoScore	-2.05745
Q13283	G3BP1	other	PhosphoScore	-2.84625
Q9UN86	G3BP2	other	proteoscore	-0.477011
P11413;P11413	G6PD	other	proteoscore	-1.74898
Q13480	GAB1	other	proteoscore	0.916278
Q9UQC2	GAB2	other	proteoscore	-1.90556
Q9H0R8	GABARAPL1	other	proteoscore	1.88189
P60520	GABARAPL2	other	proteoscore	-0.60093
Q8TAK5	GABPB2	other	proteoscore	1.22435
Q8TAE8	GADD45GIP1	other	proteoscore	-2.76522
O14976	GAK	kin	VIPER	-0.015397916423806626
P07902	GALT	other	proteoscore	-0.867331
Q14353	GAMT	other	proteoscore	-3.93469
Q9H2C0	GAN	other	proteoscore	-0.787135
P04406	GAPDH	other	PhosphoScore	-2.69682
O14556	GAPDHS	other	proteoscore	4.5923
P22102	GART	other	proteoscore	-0.74035
P15976	GATA1	tf	proteoscore	-5.76435
P23769	GATA2	tf	proteoscore	1.39184
Q8WXI9	GATAD2B	other	proteoscore	0.909722
Q04446	GBE1	other	proteoscore	-2.31568
Q92538	GBF1	other	proteoscore	1.0877
Q96CN9	GCC1	other	proteoscore	-1.39542
P30793	GCH1	other	proteoscore	2.56181
P30047	GCHFR	other	proteoscore	-5.25693
P35557	GCK	kin	proteoscore	7.85236
P48506	GCLC	other	proteoscore	1.67371
P23434	GCSH	other	proteoscore	0.331826
Q9Y2T3	GDA	other	proteoscore	2.06911
Q8TB36	GDAP1	other	proteoscore	2.44783
O14893	GEMIN2	other	proteoscore	-0.390718
P57678	GEMIN4	other	proteoscore	0.195681
Q8TEQ6	GEMIN5	other	proteoscore	-0.444659
Q8WXD5	GEMIN6	other	proteoscore	-3.35419
Q17RS7	GEN1	other	proteoscore	1.73517
P55789	GFER	other	proteoscore	0.730315
Q06210;Q06210	GFPT1	other	proteoscore	-1.30435
Q9UJY5	GGA1	other	proteoscore	-0.466306
Q9NZ52	GGA3	other	proteoscore	-0.846676
P38435	GGCX	other	proteoscore	-2.16449
Q92820	GGH	other	proteoscore	-2.20922
Q9H3C7	GGNBP2	other	proteoscore	-0.356238
Q9H3K2	GHITM	other	proteoscore	-0.936183
Q6Y7W6	GIGYF2	other	proteoscore	0.378178
Q9Y2X7	GIT1	other	proteoscore	0.771727
Q14161	GIT2	other	proteoscore	1.00048
P32189	GK	kin	proteoscore	1.41849
Q9H4G4	GLIPR2	other	proteoscore	2.15895
Q92990	GLMN	other	proteoscore	-0.646762
O94925;O94925	GLS	other	proteoscore	0.942182
P15104	GLUL	other	proteoscore	-2.55403
P60983	GMFB	other	proteoscore	1.5037
O60234	GMFG	other	proteoscore	-2.71356
Q9P107	GMIP	other	proteoscore	1.68239
O75496	GMNN	tf	proteoscore	-1.76234
P36959	GMPR	other	proteoscore	-1.15326
P49915	GMPS	other	proteoscore	-0.760798
P29992	GNA11	other	proteoscore	-3.06459
Q14344	GNA13	other	proteoscore	-0.282695
P04899	GNAI2	other	proteoscore	2.46183
P08754	GNAI3	other	proteoscore	-0.217358
P50148	GNAQ	other	proteoscore	-3.81197
P63092;Q5JWF2;P84996	GNAS	other	proteoscore	0.495061
P62873	GNB1	other	proteoscore	0.329126
P62879	GNB2	other	proteoscore	0.871042
Q9Y223	GNE	kin	proteoscore	0.955266
Q9UBI6	GNG12	other	proteoscore	3.27395
Q08379	GOLGA2	other	proteoscore	-2.30026
Q08378	GOLGA3	other	proteoscore	-0.430676
Q7Z5G4	GOLGA7	other	proteoscore	-0.521315
Q9H4A6	GOLPH3	other	proteoscore	-0.647564
Q9BQQ3	GORASP1	other	proteoscore	-0.721263
Q9H8Y8	GORASP2	other	proteoscore	-1.23579
P17174	GOT1	other	proteoscore	-0.882209
P00505	GOT2	other	proteoscore	0.866189
P13224	GP1BB	other	proteoscore	-4.40513
O43292	GPAA1	other	proteoscore	-0.667242
Q9NQX3	GPHN	other	proteoscore	1.99276
P06744	GPI	other	proteoscore	-0.275446
Q92917	GPKOW	other	proteoscore	-0.461449
Q13098	GPS1	other	proteoscore	0.373745
Q8TD30	GPT2	other	proteoscore	2.81505
Q13588	GRAP	other	proteoscore	1.57078
O75791	GRAP2	other	proteoscore	-4.64822
Q13322	GRB10	other	PhosphoScore	2.17353
Q14451	GRB7	other	proteoscore	1.40201
Q4V328	GRIPAP1	other	proteoscore	-0.678795
Q15835	GRK1	kin	VIPER	-0.3485035669793341
P25098	GRK2	kin	VIPER	-0.10377950947220048
P34947	GRK5	kin	VIPER	-0.06015224326315718
P43250	GRK6	kin	VIPER	-0.09602987557179717
Q8WTQ7	GRK7	kin	VIPER	-2.2450241220462117
P28799	GRN	other	proteoscore	-1.32528
Q9HAV7	GRPEL1	other	proteoscore	-0.298418
Q8TAA5	GRPEL2	other	proteoscore	-0.640269
Q12849	GRSF1	other	proteoscore	-2.44705
P49840	GSK3A	kin	VIPER	-4.38002112219708
P49841	GSK3B	kin	VIPER	-1.0403685623025472
P06396;P06396	GSN	other	proteoscore	0.904641
P00390	GSR	other	proteoscore	-0.994742
O15217	GSTA4	other	proteoscore	3.54626
P28161	GSTM2	other	proteoscore	-4.06926
P09211	GSTP1	other	proteoscore	-2.59483
P52657	GTF2A2	other	proteoscore	1.00319
Q00403	GTF2B	other	proteoscore	0.681924
P29083	GTF2E1	other	proteoscore	0.824038
P35269	GTF2F1	other	PhosphoScore	7.76994
P32780	GTF2H1	other	proteoscore	-0.363012
Q6ZYL4	GTF2H5	other	proteoscore	-1.50237
P78347	GTF2I	tf	proteoscore	-0.845754
Q92664	GTF3A	other	proteoscore	1.15997
Q12789	GTF3C1	other	proteoscore	-0.237569
Q8WUA4	GTF3C2	other	proteoscore	-0.44954
Q9Y5Q9	GTF3C3	other	proteoscore	-0.511512
Q9UKN8	GTF3C4	other	proteoscore	-0.435169
Q9Y5Q8	GTF3C5	other	proteoscore	-0.833609
Q969F1	GTF3C6	other	proteoscore	-0.57201
Q9NYZ3	GTSE1	other	proteoscore	-1.27081
P04921	GYPC	other	proteoscore	-3.81796
P13807	GYS1	other	PhosphoScore	1.15432
Q9P035	HACD3	other	proteoscore	-1.49307
O14929	HAT1	other	proteoscore	-1.17671
Q96CS2	HAUS1	other	proteoscore	-0.886666
Q9NVX0	HAUS2	other	proteoscore	-1.23427
Q68CZ6	HAUS3	other	proteoscore	-1.38242
O94927	HAUS5	other	proteoscore	-2.21962
Q7Z4H7	HAUS6	other	proteoscore	-1.707
Q9BT25	HAUS8	other	proteoscore	-1.6819
O00165	HAX1	other	proteoscore	0.482176
P02042	HBD	other	proteoscore	0.629137
P02100	HBE1	other	proteoscore	-5.31948
P69891	HBG1	other	proteoscore	-4.77153
P69892	HBG2	other	proteoscore	-6.04624
O60381	HBP1	tf	PhosphoScore	0.709827
P14317	HCLS1	other	proteoscore	1.71488
Q13547	HDAC1	tf	PhosphoScore	-3.36136
Q92769	HDAC2	other	PhosphoScore	1.5443
O15379	HDAC3	tf	PhosphoScore	1.75796
Q9UBN7	HDAC6	other	PhosphoScore	-4.961
Q8WUI4	HDAC7	tf	proteoscore	-2.38469
Q00341	HDLBP	other	proteoscore	1.16177
Q9ULT8	HECTD1	other	proteoscore	1.58803
Q5T447	HECTD3	other	proteoscore	0.419666
Q15751	HERC1	other	proteoscore	-0.513998
O95714	HERC2	other	proteoscore	-0.650332
Q5GLZ8	HERC4	other	proteoscore	0.289001
O14964	HGS	other	proteoscore	-1.13293
Q9NWT6	HIF1AN	other	proteoscore	0.824216
O00291	HIP1	other	proteoscore	-0.273114
O75146	HIP1R	other	proteoscore	0.421277
Q86Z02	HIPK1	kin	VIPER	-0.09394571897931003
Q9H2X6	HIPK2	kin	VIPER	-0.44178044082225476
Q8NE63	HIPK4	kin	VIPER	-0.06115053328956692
P54198	HIRA	tf	proteoscore	-1.18578
P52789	HK2	kin	proteoscore	1.25346
P52790	HK3	kin	proteoscore	3.91578
Q14527	HLTF	other	proteoscore	-1.09761
Q6NT76	HMBOX1	other	proteoscore	-1.93108
Q9P0W2	HMG20B	other	proteoscore	-0.526562
P17096	HMGA1	tf	proteoscore	-2.10079
P26583	HMGB2	tf	proteoscore	0.604868
P04035	HMGCR	other	proteoscore	-1.78438
P05114	HMGN1	other	proteoscore	-2.62271
Q13151	HNRNPA0	other	proteoscore	0.803385
P09651	HNRNPA1	other	proteoscore	-0.718949
P22626	HNRNPA2B1	other	proteoscore	-0.479367
P51991	HNRNPA3	other	proteoscore	0.346978
P07910	HNRNPC	other	proteoscore	-1.16806
Q14103	HNRNPD	other	proteoscore	-0.841026
P31943	HNRNPH1	other	proteoscore	-2.15342
P55795	HNRNPH2	other	proteoscore	-0.251848
P14866	HNRNPL	other	proteoscore	-0.333002
P52272	HNRNPM	other	proteoscore	-0.547887
Q9NSB8	HOMER2	other	proteoscore	1.80265
Q9NSC5	HOMER3	other	proteoscore	1.77643
Q86VS8	HOOK3	other	proteoscore	0.872883
P17483	HOXB4	tf	proteoscore	-3.31462
P17482	HOXB9	tf	proteoscore	-1.44761
P15428	HPGD	other	proteoscore	-4.43547
Q969F9	HPS3	other	proteoscore	-0.98296
Q9NQG7	HPS4	other	proteoscore	1.1563
Q9UPZ3	HPS5	other	proteoscore	-2.20948
Q86YV9	HPS6	other	proteoscore	-2.03374
P23327	HRC	other	proteoscore	-2.42002
O75506	HSBP1	tf	proteoscore	-2.06759
Q99714	HSD17B10	other	proteoscore	-0.517551
Q8NBQ5	HSD17B11	other	proteoscore	-1.27286
Q7Z5P4	HSD17B13	other	proteoscore	3.20186
P51659	HSD17B4	other	proteoscore	-0.88914
Q00613	HSF1	tf	PhosphoScore	5.697635
P08238	HSP90AB1	other	PhosphoScore	-1.6519329999999999
P34931	HSPA1L	other	proteoscore	-4.605
P54652	HSPA2	other	proteoscore	0.325942
P17066	HSPA6	other	proteoscore	-0.951707
P11142	HSPA8	other	proteoscore	0.387861
P38646	HSPA9	other	proteoscore	-1.33314
P04792	HSPB1	other	PhosphoScore	-10.3278
P10809	HSPD1	other	proteoscore	-1.23991
P98160	HSPG2	other	proteoscore	-0.815512
O43719	HTATSF1	other	proteoscore	-0.728887
O43464	HTRA2	other	proteoscore	0.292372
P42858	HTT	other	PhosphoScore	3.63629
Q7Z6Z7	HUWE1	other	proteoscore	-0.560542
Q96D96	HVCN1	other	proteoscore	0.742724
Q9Y4L1	HYOU1	other	proteoscore	-1.01178
Q05084	ICA1	other	proteoscore	1.32701
P05362	ICAM1	other	proteoscore	-4.84388
P13598	ICAM2	other	proteoscore	-3.26474
Q14773	ICAM4	other	proteoscore	-1.29866
P41134	ID1	other	proteoscore	0.746279
P14735	IDE	other	proteoscore	1.78574
O75874	IDH1	other	proteoscore	-3.81461
P48735	IDH2	other	proteoscore	-0.500991
P50213	IDH3A	other	proteoscore	0.884838
O43837	IDH3B	other	proteoscore	0.465473
P51553	IDH3G	other	proteoscore	1.17698
Q01628	IFITM3	other	proteoscore	-3.74372
P78318	IGBP1	other	proteoscore	0.583237
P08069	IGF1R	kin	proteoscore	3.27406
Q9NZI8	IGF2BP1	other	proteoscore	-6.84434
P11717	IGF2R	kin	proteoscore	-5.7742000000000004
O14920	IKBKB	kin	VIPER	0.0053537946573683605
Q13422	IKZF1	tf	proteoscore	-0.257657
Q9H2S9	IKZF4	tf	proteoscore	-1.1301
Q14005	IL16	other	proteoscore	2.349
Q14116	IL18	other	proteoscore	0.81428
Q12905	ILF2	other	proteoscore	-1.53918
Q12906	ILF3	other	proteoscore	-1.98373
Q13418	ILK	kin	proteoscore	1.44735
Q16891	IMMT	other	proteoscore	-0.843723
Q9NV31	IMP3	other	proteoscore	-0.197563
P20839	IMPDH1	other	proteoscore	0.320433
P12268	IMPDH2	other	proteoscore	0.806258
Q9NQS7	INCENP	other	proteoscore	0.882892
Q27J81	INF2	other	proteoscore	2.70425
Q9NXR8	ING3	other	proteoscore	-0.479477
Q9UNL4	ING4	tf	proteoscore	0.945163
Q9ULG1	INO80	other	proteoscore	1.14419
Q92835	INPP5D	other	proteoscore	2.85915
Q8N201	INTS1	other	proteoscore	0.796651
Q9NVR2	INTS10	other	proteoscore	0.760561
Q96CB8	INTS12	other	proteoscore	0.577053
Q9H0H0	INTS2	other	proteoscore	0.806885
Q68E01	INTS3	other	proteoscore	0.475935
Q96HW7	INTS4	other	proteoscore	0.817303
Q6P9B9	INTS5	other	proteoscore	0.738856
Q9UL03	INTS6	other	proteoscore	1.58164
Q9NVH2	INTS7	other	proteoscore	0.696828
Q75QN2	INTS8	other	proteoscore	0.673582
Q9NV88	INTS9	other	proteoscore	0.690665
O00410	IPO5	other	proteoscore	0.619511
P46940	IQGAP1	other	proteoscore	-0.827067
Q5JU85	IQSEC2	other	proteoscore	-1.29086
P51617	IRAK1	kin	proteoscore	-1.75587
Q9Y616	IRAK3	kin	proteoscore	2.88344
Q9NWZ3	IRAK4	kin	proteoscore	-0.843935
P48200	IREB2	other	proteoscore	-0.677345
Q8IU81	IRF2BP1	tf	proteoscore	-0.313332
Q7Z5L9	IRF2BP2	tf	PhosphoScore	1.10174
Q9H1B7	IRF2BPL	other	proteoscore	-2.31343
Q14653	IRF3	tf	proteoscore	-3.5889
Q13568	IRF5	tf	proteoscore	1.76746
Q9Y4H2	IRS2	other	PhosphoScore	0.9768045000000001
Q9H1K1	ISCU	other	proteoscore	1.24345
Q9NPH2	ISYNA1	other	proteoscore	-1.0332
P08514	ITGA2B	other	proteoscore	3.22635
P13612	ITGA4	other	proteoscore	5.97551
P08648	ITGA5	other	proteoscore	-1.23432
P20701	ITGAL	other	proteoscore	2.86083
P05107	ITGB2	other	proteoscore	5.86954
P05106	ITGB3	other	proteoscore	2.71505
P18564	ITGB6	other	proteoscore	-2.53493
P26010	ITGB7	other	proteoscore	2.81795
P23677	ITPKA	kin	proteoscore	-2.07876
P27987	ITPKB	kin	PhosphoScore	2.65555
Q14643	ITPR1	other	proteoscore	0.723228
Q14571	ITPR2	other	proteoscore	1.03694
P23458	JAK1	kin	proteoscore	1.34681
Q6NYC1	JMJD6	other	proteoscore	-0.871611
P05412	JUN	tf	PhosphoScore	-1.272426
P17535	JUND	tf	proteoscore	-1.54315
P14923	JUP	tf	proteoscore	-2.1966
Q7Z3B3	KANSL1	other	proteoscore	-1.19774
Q9H9L4	KANSL2	other	proteoscore	0.434218
Q9P2N6	KANSL3	other	proteoscore	-0.524382
O95251	KAT7	other	proteoscore	0.553504
Q9H7Z6	KAT8	tf	proteoscore	-0.790693
O75449	KATNA1	other	proteoscore	-0.425826
Q9P0J7	KCMF1	other	proteoscore	-0.699723
Q12809;Q12809_VAR_014388	KCNH2	other	proteoscore	-1.97933
O15554	KCNN4	other	proteoscore	-1.62571
Q9H3F6	KCTD10	other	proteoscore	0.464233
P24390	KDELR1	other	proteoscore	-1.68291
O60341	KDM1A	tf	proteoscore	-0.435994
Q7LBC6	KDM3B	tf	proteoscore	-0.719067
Q9UGL1	KDM5B	tf	proteoscore	-0.70723
P41229	KDM5C	other	proteoscore	-1.86284
O15550	KDM6A	other	proteoscore	-1.01451
Q14145	KEAP1	other	proteoscore	-0.623172
P23276	KEL	other	proteoscore	-1.72901
Q07666	KHDRBS1	other	proteoscore	-0.793532
P50053	KHK	kin	proteoscore	-1.21128
Q92945	KHSRP	other	proteoscore	-0.623961
Q9ULH0	KIDINS220	other	proteoscore	-1.84247
P52732	KIF11	other	proteoscore	1.01447
Q9H1H9	KIF13A	other	proteoscore	-1.94249
Q9NQT8	KIF13B	other	proteoscore	0.489696
Q15058	KIF14	other	proteoscore	-1.70239
