UNIPROT.K562	gene_name	mf	method.K562	final_score.K562	UNIPROT.LAMA84	method.LAMA84	final_score.LAMA84	conc
Q9UI09	NDUFA12	other	proteoscore	0.429596	NA	NA	NA	NA
Q9P0J0	NDUFA13	other	proteoscore	0.686709	NA	NA	NA	NA
O95167	NDUFA3	other	proteoscore	0.683225	NA	NA	NA	NA
Q16795	NDUFA9	other	proteoscore	0.492186	NA	NA	NA	NA
O43676	NDUFB3	other	proteoscore	0.448961	NA	NA	NA	NA
O43674	NDUFB5	other	proteoscore	0.574619	NA	NA	NA	NA
P17568	NDUFB7	other	proteoscore	0.785209	NA	NA	NA	NA
O95169	NDUFB8	other	proteoscore	0.832512	NA	NA	NA	NA
Q9Y6M9	NDUFB9	other	proteoscore	0.365117	NA	NA	NA	NA
O95298	NDUFC2	other	proteoscore	0.820775	NA	NA	NA	NA
P28331	NDUFS1	other	proteoscore	0.337088	NA	NA	NA	NA
O43920	NDUFS5	other	proteoscore	0.757678	NA	NA	NA	NA
P20929	NEB	other	proteoscore	0.827825	NA	NA	NA	NA
Q96PU5	NEDD4L	other	PhosphoScore	0.590147	NA	NA	NA	NA
P12036	NEFH	other	proteoscore	-2.80061	NA	NA	NA	NA
Q96PY6	NEK1	kin	VIPER	0.600637015	NA	NA	NA	NA
P51956	NEK3	kin	VIPER	0.699131362	NA	NA	NA	NA
P51957	NEK4	kin	VIPER	1.558370154	NA	NA	NA	NA
P48681	NES	other	proteoscore	-0.359188	NA	NA	NA	NA
O94916	NFAT5	tf	proteoscore	-0.79888	NA	NA	NA	NA
O95644	NFATC1	tf	proteoscore	1.77861	NA	NA	NA	NA
P25963	NFKBIA	other	proteoscore	-0.597739	NA	NA	NA	NA
Q15653	NFKBIB	tf	proteoscore	-0.777128	NA	NA	NA	NA
Q9Y697	NFS1	other	proteoscore	0.321385	NA	NA	NA	NA
Q12986	NFX1	tf	proteoscore	-0.616478	NA	NA	NA	NA
Q13952	NFYC	tf	proteoscore	0.255117	NA	NA	NA	NA
Q9BYG3	NIFK	other	proteoscore	-0.921005	NA	NA	NA	NA
Q9UBE8	NLK	kin	VIPER	-4.635969716	NA	NA	NA	NA
Q5SY16	NOL9	kin	proteoscore	-0.237127	NA	NA	NA	NA
P49116	NR2C2	tf	proteoscore	0.51549	NA	NA	NA	NA
P04150	NR3C1	tf	PhosphoScore	-1.95547	NA	NA	NA	NA
Q12769	NUP160	other	proteoscore	-0.239383	NA	NA	NA	NA
Q5SRE5	NUP188	other	proteoscore	-0.480138	NA	NA	NA	NA
Q92621	NUP205	other	proteoscore	-0.49875	NA	NA	NA	NA
P35658	NUP214	other	proteoscore	-0.511568	NA	NA	NA	NA
Q8NFH4	NUP37	other	proteoscore	-0.437064	NA	NA	NA	NA
P61970	NUTF2	other	proteoscore	0.250105	NA	NA	NA	NA
Q9UBU9	NXF1	other	proteoscore	-0.381988	NA	NA	NA	NA
P11926	ODC1	other	proteoscore	-1.32955	NA	NA	NA	NA
Q5BJF6	ODF2	other	proteoscore	-1.24291	NA	NA	NA	NA
O75665	OFD1	other	proteoscore	-0.593527	NA	NA	NA	NA
O60313	OPA1	other	proteoscore	0.255908	NA	NA	NA	NA
Q6VY07	PACS1	other	proteoscore	0.447678	NA	NA	NA	NA
Q9BY11	PACSIN1	other	proteoscore	0.953737	NA	NA	NA	NA
P22234	PAICS	other	proteoscore	-0.338775	NA	NA	NA	NA
O96013	PAK4	kin	PhosphoScore	2.61731	NA	NA	NA	NA
P51003	PAPOLA	other	proteoscore	0.325222	NA	NA	NA	NA
Q99497	PARK7	tf	proteoscore	0.298647	NA	NA	NA	NA
Q9HBE1	PATZ1	other	proteoscore	1.38911	NA	NA	NA	NA
Q86SE9	PCGF5	other	proteoscore	0.817008	NA	NA	NA	NA
Q9BYE7	PCGF6	other	proteoscore	-1.17528	NA	NA	NA	NA
Q9HCR9	PDE11A	other	PhosphoScore	1.57194	NA	NA	NA	NA
Q13370	PDE3B	other	proteoscore	-1.25765	NA	NA	NA	NA
P09619	PDGFRB	kin	VIPER	-3.961856962	NA	NA	NA	NA
P11177	PDHB	other	proteoscore	0.560597	NA	NA	NA	NA
Q15121	PEA15	other	proteoscore	0.409681	NA	NA	NA	NA
P56645	PER3	other	proteoscore	-0.981075	NA	NA	NA	NA
Q92968	PEX13	other	proteoscore	-0.62053	NA	NA	NA	NA
P40855	PEX19	other	proteoscore	-0.430119	NA	NA	NA	NA
P18669	PGAM1	other	PhosphoScore	1.39366	NA	NA	NA	NA
O95336	PGLS	other	proteoscore	0.364811	NA	NA	NA	NA
P06401;P06401	PGR	tf	proteoscore	1.11783	NA	NA	NA	NA
Q32NB8	PGS1	other	proteoscore	0.606228	NA	NA	NA	NA
Q8IXK0	PHC2	other	proteoscore	0.302818	NA	NA	NA	NA
O43189	PHF1	other	proteoscore	0.76174	NA	NA	NA	NA
Q8IWS0	PHF6	other	proteoscore	0.582318	NA	NA	NA	NA
O43175	PHGDH	other	proteoscore	0.346059	NA	NA	NA	NA
P15735	PHKG2	kin	VIPER	1.034752569	NA	NA	NA	NA
O75925	PIAS1	tf	PhosphoScore	1.57568	NA	NA	NA	NA
Q9NRD5	PICK1	other	proteoscore	1.40908	NA	NA	NA	NA
Q92508	PIEZO1	other	proteoscore	0.500689	NA	NA	NA	NA
Q6ZUJ8	PIK3AP1	other	proteoscore	-0.753848	NA	NA	NA	NA
Q8NEB9	PIK3C3	kin	proteoscore	0.260886	NA	NA	NA	NA
P48736	PIK3CG	kin	proteoscore	-1.40789	NA	NA	NA	NA
P27986	PIK3R1	other	proteoscore	-0.610532	NA	NA	NA	NA
Q9P1W9	PIM2	kin	VIPER	-0.92569712	NA	NA	NA	NA
Q9BXM7	PINK1	kin	VIPER	-0.964363507	NA	NA	NA	NA
P48426	PIP4K2A	kin	proteoscore	0.384995	NA	NA	NA	NA
O60331	PIP5K1C	kin	proteoscore	1.28449	NA	NA	NA	NA
Q5JRX3	PITRM1	other	proteoscore	0.320082	NA	NA	NA	NA
P14618;P14618	PKM	other	proteoscore	-0.427912	NA	NA	NA	NA
Q03405	PLAUR	other	proteoscore	-1.10029	NA	NA	NA	NA
Q01970	PLCB3	other	proteoscore	0.277031	NA	NA	NA	NA
P19174	PLCG1	other	PhosphoScore	-0.971871	NA	NA	NA	NA
Q13393;Q13393	PLD1	other	proteoscore	0.535801	NA	NA	NA	NA
O60664	PLIN3	other	proteoscore	0.246985	NA	NA	NA	NA
O43660	PLRG1	other	proteoscore	-0.377864	NA	NA	NA	NA
Q9H307	PNN	other	proteoscore	-0.3611	NA	NA	NA	NA
P28340	POLD1	other	proteoscore	-0.408362	NA	NA	NA	NA
P49005	POLD2	other	proteoscore	-0.320009	NA	NA	NA	NA
P56282	POLE2	other	proteoscore	-0.46909	NA	NA	NA	NA
Q9NRF9	POLE3	other	proteoscore	-1.27675	NA	NA	NA	NA
Q9NR33	POLE4	other	proteoscore	-1.28263	NA	NA	NA	NA
P30876	POLR2B	other	proteoscore	-0.205992	NA	NA	NA	NA
O15514	POLR2D	other	proteoscore	-0.521399	NA	NA	NA	NA
Q9NVU0	POLR3E	other	proteoscore	-0.333248	NA	NA	NA	NA
Q9Y535	POLR3H	other	proteoscore	0.39442	NA	NA	NA	NA
Q96HA1	POM121	other	proteoscore	-0.572447	NA	NA	NA	NA
P30405	PPIF	other	proteoscore	0.595708	NA	NA	NA	NA
O60237	PPP1R12B	other	PhosphoScore	-0.526517	NA	NA	NA	NA
Q14738	PPP2R5D	other	proteoscore	0.273463	NA	NA	NA	NA
P48454	PPP3CC	other	proteoscore	-0.466479	NA	NA	NA	NA
P63098	PPP3R1	other	proteoscore	-1.65921	NA	NA	NA	NA
P60510	PPP4C	other	proteoscore	-0.301528	NA	NA	NA	NA
O43663	PRC1	other	proteoscore	-1.09952	NA	NA	NA	NA
P30041	PRDX6	other	proteoscore	0.392637	NA	NA	NA	NA
P13727	PRG2	other	proteoscore	1.02576	NA	NA	NA	NA
P05771;P05771	PRKCB	kin	VIPER+PhosphoScore	2.474909379	NA	NA	NA	NA
Q05655	PRKCD	kin	VIPER	-0.709704829	NA	NA	NA	NA
Q05513	PRKCZ	kin	VIPER	1.595870003	NA	NA	NA	NA
Q9BZL6	PRKD2	kin	VIPER	0.419265212	NA	NA	NA	NA
O43395	PRPF3	other	proteoscore	-0.313032	NA	NA	NA	NA
O75475	PSIP1	tf	proteoscore	0.363763	NA	NA	NA	NA
P40306	PSMB10	other	proteoscore	-1.48515	NA	NA	NA	NA
P49720	PSMB3	other	proteoscore	-0.227919	NA	NA	NA	NA
Q8WXF1	PSPC1	other	proteoscore	0.374174	NA	NA	NA	NA
P78330	PSPH	other	proteoscore	0.300807	NA	NA	NA	NA
Q96EY7	PTCD3	other	proteoscore	0.269427	NA	NA	NA	NA
P60484	PTEN	phos	VIPER	-10.27272903	NA	NA	NA	NA
Q05397	PTK2	kin	proteoscore	0.286068	NA	NA	NA	NA
Q14289	PTK2B	kin	proteoscore	0.530994	NA	NA	NA	NA
Q13882	PTK6	kin	VIPER	-16.37748555	NA	NA	NA	NA
Q13308	PTK7	kin	proteoscore	0.47435	NA	NA	NA	NA
P06454	PTMA	other	proteoscore	-1.60374	NA	NA	NA	NA
Q8WUK0	PTPMT1	phos	proteoscore	0.620532	NA	NA	NA	NA
P29350	PTPN6	phos	proteoscore	0.37299	NA	NA	NA	NA
Q12913	PTPRJ	phos	proteoscore	-0.836457	NA	NA	NA	NA
Q13332	PTPRS	phos	proteoscore	0.570423	NA	NA	NA	NA
P15151	PVR	other	proteoscore	-0.327083	NA	NA	NA	NA
P49023;P49023	PXN	other	proteoscore	-0.436643	NA	NA	NA	NA
Q9ULZ3	PYCARD	other	proteoscore	-0.410857	NA	NA	NA	NA
P11216	PYGB	other	proteoscore	0.256032	NA	NA	NA	NA
Q6IQ22	RAB12	other	proteoscore	-0.717656	NA	NA	NA	NA
Q13637	RAB32	other	proteoscore	-0.699601	NA	NA	NA	NA
P57729	RAB38	other	proteoscore	-1.1141	NA	NA	NA	NA
P20338	RAB4A	other	proteoscore	-0.286367	NA	NA	NA	NA
P51151	RAB9A	other	proteoscore	0.297312	NA	NA	NA	NA
Q9H5N1	RABEP2	other	proteoscore	-0.30344	NA	NA	NA	NA
P60763	RAC3	other	proteoscore	0.884677	NA	NA	NA	NA
Q92878	RAD50	other	proteoscore	0.253928	NA	NA	NA	NA
Q99638	RAD9A	other	PhosphoScore	2.67532	NA	NA	NA	NA
Q6GYQ0	RALGAPA1	other	proteoscore	0.821566	NA	NA	NA	NA
Q9UKM9	RALY	tf	proteoscore	0.28392	NA	NA	NA	NA
P47736	RAP1GAP	other	proteoscore	0.425976	NA	NA	NA	NA
Q9Y4G8	RAPGEF2	other	proteoscore	0.54914	NA	NA	NA	NA
Q15291	RBBP5	other	proteoscore	-0.323971	NA	NA	NA	NA
P53805;P53805	RCAN1	other	PhosphoScore	1.467255	NA	NA	NA	NA
Q6JBY9	RCSD1	other	proteoscore	-0.973833	NA	NA	NA	NA
Q04206	RELA	tf	proteoscore	-0.300569	NA	NA	NA	NA
P78509	RELN	other	proteoscore	2.98627	NA	NA	NA	NA
Q96D71	REPS1	other	proteoscore	-0.433385	NA	NA	NA	NA
P40938	RFC3	other	proteoscore	-0.591702	NA	NA	NA	NA
Q6PCD5	RFWD3	other	proteoscore	-1.42071	NA	NA	NA	NA
Q6NUQ1	RINT1	other	proteoscore	-0.405429	NA	NA	NA	NA
O14730	RIOK3	kin	proteoscore	-0.542216	NA	NA	NA	NA
Q9Y508	RNF114	other	proteoscore	-0.553431	NA	NA	NA	NA
Q9BV68	RNF126	other	proteoscore	-0.44594	NA	NA	NA	NA
Q86XS8	RNF130	other	proteoscore	-1.97134	NA	NA	NA	NA
Q9UBS8	RNF14	tf	proteoscore	0.353769	NA	NA	NA	NA
Q5VTR2	RNF20	tf	proteoscore	-0.329255	NA	NA	NA	NA
Q96BH1	RNF25	other	proteoscore	-0.507627	NA	NA	NA	NA
P78317	RNF4	tf	proteoscore	-0.903768	NA	NA	NA	NA
O75150	RNF40	other	proteoscore	-0.436151	NA	NA	NA	NA
O43148	RNMT	other	proteoscore	0.242658	NA	NA	NA	NA
Q01974	ROR2	kin	proteoscore	0.546999	NA	NA	NA	NA
Q8IXW5	RPAP2	other	proteoscore	-0.393581	NA	NA	NA	NA
P62913	RPL11	other	proteoscore	-0.356795	NA	NA	NA	NA
P50914	RPL14	other	proteoscore	-0.322432	NA	NA	NA	NA
P35268	RPL22	other	proteoscore	-0.463665	NA	NA	NA	NA
P36578	RPL4	other	proteoscore	-0.271705	NA	NA	NA	NA
P18124	RPL7	other	proteoscore	-0.314986	NA	NA	NA	NA
P62424	RPL7A	other	proteoscore	-0.367699	NA	NA	NA	NA
P05388	RPLP0	other	proteoscore	-0.322916	NA	NA	NA	NA
P05386	RPLP1	other	proteoscore	-0.572305	NA	NA	NA	NA
P62280	RPS11	other	proteoscore	-0.341705	NA	NA	NA	NA
P25398	RPS12	other	proteoscore	-0.3837	NA	NA	NA	NA
P62277	RPS13	other	proteoscore	-0.395119	NA	NA	NA	NA
P62263	RPS14	other	proteoscore	-0.411811	NA	NA	NA	NA
P62841	RPS15	other	proteoscore	-0.632729	NA	NA	NA	NA
P15880	RPS2	other	proteoscore	-0.364256	NA	NA	NA	NA
P62854	RPS26	other	proteoscore	-0.900141	NA	NA	NA	NA
P62979	RPS27A	other	proteoscore	-1.20075	NA	NA	NA	NA
Q15418	RPS6KA1	kin	VIPER	-6.369437694	NA	NA	NA	NA
Q15349	RPS6KA2	kin	VIPER	-18.75850112	NA	NA	NA	NA
Q9UBS0	RPS6KB2	kin	VIPER	-3.66569546	NA	NA	NA	NA
Q8N122	RPTOR	other	PhosphoScore	2.10317	NA	NA	NA	NA
Q92766	RREB1	tf	proteoscore	0.290672	NA	NA	NA	NA
P28702	RXRB	tf	proteoscore	0.412494	NA	NA	NA	NA
P06703	S100A6	other	proteoscore	1.42481	NA	NA	NA	NA
P25815	S100P	other	proteoscore	1.03741	NA	NA	NA	NA
Q9UBE0	SAE1	other	proteoscore	0.26404	NA	NA	NA	NA
Q9NR31	SAR1A	other	proteoscore	-0.396585	NA	NA	NA	NA
Q99590	SCAF11	other	proteoscore	-0.426166	NA	NA	NA	NA
O14828	SCAMP3	other	proteoscore	-0.304021	NA	NA	NA	NA
Q96KG9	SCYL1	kin	proteoscore	-0.277871	NA	NA	NA	NA
Q9HCN8	SDF2L1	other	proteoscore	-0.358663	NA	NA	NA	NA
P55735	SEC13	other	proteoscore	-0.269944	NA	NA	NA	NA
O75396	SEC22B	other	proteoscore	0.262486	NA	NA	NA	NA
Q15436	SEC23A	other	proteoscore	0.288615	NA	NA	NA	NA
Q9Y6Y8	SEC23IP	other	proteoscore	-0.306383	NA	NA	NA	NA
Q96EE3	SEH1L	other	proteoscore	-0.2463	NA	NA	NA	NA
Q14242	SELPLG	other	proteoscore	0.455157	NA	NA	NA	NA
O75326	SEMA7A	other	proteoscore	0.747003	NA	NA	NA	NA
P58004	SESN2	other	proteoscore	0.359599	NA	NA	NA	NA
Q9BYW2	SETD2	other	proteoscore	-0.279831	NA	NA	NA	NA
Q53H47	SETMAR	other	PhosphoScore	-1.19865	NA	NA	NA	NA
Q15637	SF1	tf	proteoscore	-0.366013	NA	NA	NA	NA
Q15393	SF3B3	other	proteoscore	-0.229858	NA	NA	NA	NA
Q9BWJ5	SF3B5	other	proteoscore	0.576169	NA	NA	NA	NA
Q9H9B4	SFXN1	other	proteoscore	0.497345	NA	NA	NA	NA
O43765	SGTA	other	proteoscore	-0.353391	NA	NA	NA	NA
O60239	SH3BP5	other	proteoscore	0.637388	NA	NA	NA	NA
Q9H173	SIL1	other	proteoscore	-0.602884	NA	NA	NA	NA
Q9NXA8	SIRT5	other	proteoscore	0.574761	NA	NA	NA	NA
Q9NRC8	SIRT7	other	proteoscore	0.767591	NA	NA	NA	NA
P49281	SLC11A2	other	proteoscore	0.645221	NA	NA	NA	NA
Q9Y666	SLC12A7	other	proteoscore	2.21633	NA	NA	NA	NA
Q96BI1	SLC22A18	other	proteoscore	0.788928	NA	NA	NA	NA
P11166	SLC2A1	other	proteoscore	0.963944	NA	NA	NA	NA
P11169	SLC2A3	other	proteoscore	-1.53396	NA	NA	NA	NA
Q7Z2H8	SLC36A1	other	proteoscore	0.833008	NA	NA	NA	NA
P04920	SLC4A2	other	proteoscore	-1.48622	NA	NA	NA	NA
Q99717	SMAD5	tf	proteoscore	-1.53115	NA	NA	NA	NA
Q9NTJ3	SMC4	other	proteoscore	-0.256782	NA	NA	NA	NA
O95863	SNAI1	tf	PhosphoScore	2.48598	NA	NA	NA	NA
O95295	SNAPIN	other	proteoscore	0.670223	NA	NA	NA	NA
Q9NRH2	SNRK	kin	VIPER	0.539867048	NA	NA	NA	NA
P08621	SNRNP70	other	proteoscore	0.264081	NA	NA	NA	NA
P14678	SNRPB	other	proteoscore	-1.8332	NA	NA	NA	NA
P62304	SNRPE	other	proteoscore	0.308252	NA	NA	NA	NA
P62306	SNRPF	other	proteoscore	-0.462605	NA	NA	NA	NA
Q9UNH7	SNX6	other	proteoscore	0.459391	NA	NA	NA	NA
Q9Y5X2	SNX8	other	proteoscore	0.412064	NA	NA	NA	NA
Q9Y5X1	SNX9	other	proteoscore	0.200049	NA	NA	NA	NA
O14508	SOCS2	other	proteoscore	-2.0417	NA	NA	NA	NA
P00441	SOD1	other	proteoscore	0.385596	NA	NA	NA	NA
P18583	SON	other	proteoscore	-0.243289	NA	NA	NA	NA
Q99523	SORT1	other	proteoscore	-0.436512	NA	NA	NA	NA
P23497	SP100	tf	proteoscore	0.47164	NA	NA	NA	NA
Q96JI7	SPG11	other	proteoscore	0.554373	NA	NA	NA	NA
P11277	SPTB	other	proteoscore	1.50793	NA	NA	NA	NA
Q01082	SPTBN1	other	proteoscore	-0.362255	NA	NA	NA	NA
O15269	SPTLC1	other	proteoscore	-0.425669	NA	NA	NA	NA
P12931	SRC	kin	VIPER+PhosphoScore	-1.650371905	NA	NA	NA	NA
P30626	SRI	other	proteoscore	0.467079	NA	NA	NA	NA
Q9UHB9	SRP68	other	proteoscore	-0.227336	NA	NA	NA	NA
P15907	ST6GAL1	other	proteoscore	-1.2885	NA	NA	NA	NA
Q9NRC1	ST7	other	proteoscore	-0.542079	NA	NA	NA	NA
P49675	STAR	other	proteoscore	-2.52479	NA	NA	NA	NA
Q9Y365	STARD10	other	PhosphoScore	-1.71345	NA	NA	NA	NA
P52630	STAT2	tf	proteoscore	0.546959	NA	NA	NA	NA
P51692	STAT5B	tf	PhosphoScore	-4.26878	NA	NA	NA	NA
O94768	STK17B	kin	proteoscore	-1.51052	NA	NA	NA	NA
Q9Y6E0	STK24	kin	PhosphoScore	1.39356	NA	NA	NA	NA
O00506	STK25	kin	proteoscore	0.249383	NA	NA	NA	NA
Q13043	STK4	kin	VIPER	1.298944262	NA	NA	NA	NA
Q8WXE9	STON2	other	proteoscore	-0.370189	NA	NA	NA	NA
Q15833	STXBP2	other	proteoscore	0.336047	NA	NA	NA	NA
P53597	SUCLG1	other	proteoscore	0.379526	NA	NA	NA	NA
Q96I99	SUCLG2	other	proteoscore	0.444098	NA	NA	NA	NA
Q9UH99	SUN2	other	proteoscore	0.635587	NA	NA	NA	NA
Q7KZ85	SUPT6H	other	proteoscore	-0.674101	NA	NA	NA	NA
Q15526	SURF1	other	proteoscore	0.536122	NA	NA	NA	NA
O75528	TADA3	tf	proteoscore	-0.962968	NA	NA	NA	NA
P49848	TAF6	tf	proteoscore	0.229891	NA	NA	NA	NA
P17542	TAL1	tf	proteoscore	1.16394	NA	NA	NA	NA
P37837	TALDO1	other	proteoscore	0.387537	NA	NA	NA	NA
Q86VP1	TAX1BP1	other	proteoscore	-0.80026	NA	NA	NA	NA
P21731	TBXA2R	other	PhosphoScore	0.578757	NA	NA	NA	NA
P15923	TCF3	tf	proteoscore	0.719057	NA	NA	NA	NA
Q13569	TDG	tf	proteoscore	0.597706	NA	NA	NA	NA
O95551	TDP2	tf	proteoscore	-0.452233	NA	NA	NA	NA
Q15554	TERF2	other	proteoscore	0.237824	NA	NA	NA	NA
Q12800	TFCP2	tf	proteoscore	-0.365664	NA	NA	NA	NA
P19484	TFEB	tf	PhosphoScore	-2.185653333	NA	NA	NA	NA
P02786	TFRC	other	proteoscore	0.331715	NA	NA	NA	NA
P21980	TGM2	other	proteoscore	0.61612	NA	NA	NA	NA
Q8NI27	THOC2	other	proteoscore	-0.30546	NA	NA	NA	NA
Q9Y2W1	THRAP3	tf	proteoscore	0.306094	NA	NA	NA	NA
O43615	TIMM44	other	proteoscore	0.257191	NA	NA	NA	NA
Q9UDY2	TJP2	kin	proteoscore	0.577883	NA	NA	NA	NA
P49755	TMED10	other	proteoscore	0.255977	NA	NA	NA	NA
P28289	TMOD1	other	proteoscore	1.24142	NA	NA	NA	NA
Q15025	TNIP1	other	proteoscore	-0.945031	NA	NA	NA	NA
Q9C0C2	TNKS1BP1	other	proteoscore	0.504129	NA	NA	NA	NA
Q92973	TNPO1	other	proteoscore	-0.443889	NA	NA	NA	NA
O60784	TOM1	other	proteoscore	0.752507	NA	NA	NA	NA
Q8N4H5	TOMM5	other	proteoscore	0.812964	NA	NA	NA	NA
O14656	TOR1A	other	proteoscore	-0.330832	NA	NA	NA	NA
Q12888	TP53BP1	tf	PhosphoScore	-1.03805	NA	NA	NA	NA
P60174;P60174	TPI1	other	proteoscore	0.255703	NA	NA	NA	NA
Q15628	TRADD	other	proteoscore	0.414795	NA	NA	NA	NA
Q9BUZ4	TRAF4	other	proteoscore	-0.577228	NA	NA	NA	NA
Q15645	TRIP13	tf	proteoscore	-0.39792	NA	NA	NA	NA
Q15714	TSC22D1	other	proteoscore	1.81344	NA	NA	NA	NA
Q96PF2	TSSK2	kin	VIPER	0.913879281	NA	NA	NA	NA
Q9H4B7	TUBB1	other	proteoscore	1.8996	NA	NA	NA	NA
P68371	TUBB4B	other	proteoscore	0.382232	NA	NA	NA	NA
Q9BUF5	TUBB6	other	proteoscore	0.33288	NA	NA	NA	NA
P49411	TUFM	other	proteoscore	0.250014	NA	NA	NA	NA
P22314	UBA1	other	proteoscore	0.293015	NA	NA	NA	NA
Q9BSL1	UBAC1	other	proteoscore	-0.378205	NA	NA	NA	NA
P49459	UBE2A	other	proteoscore	-0.464299	NA	NA	NA	NA
P61077	UBE2D3	other	proteoscore	0.708438	NA	NA	NA	NA
P51965	UBE2E1	other	proteoscore	-0.97156	NA	NA	NA	NA
Q969M7	UBE2F	other	proteoscore	0.671863	NA	NA	NA	NA
Q9Y385	UBE2J1	other	proteoscore	-0.2471	NA	NA	NA	NA
O14933	UBE2L6	other	proteoscore	0.468524	NA	NA	NA	NA
Q9C0C9	UBE2O	other	proteoscore	-0.322891	NA	NA	NA	NA
Q7Z7E8	UBE2Q1	other	proteoscore	-1.13386	NA	NA	NA	NA
Q6ZU65	UBN2	other	proteoscore	0.340846	NA	NA	NA	NA
P17480	UBTF	other	proteoscore	0.298017	NA	NA	NA	NA
Q16880	UGT8	other	proteoscore	1.06582	NA	NA	NA	NA
Q9HAU5	UPF2	other	proteoscore	0.225375	NA	NA	NA	NA
O94782	USP1	other	PhosphoScore	-1.2405	NA	NA	NA	NA
Q9Y2K6	USP20	other	proteoscore	-0.416127	NA	NA	NA	NA
Q9P275	USP36	other	proteoscore	-0.967241	NA	NA	NA	NA
Q93009	USP7	other	proteoscore	0.203088	NA	NA	NA	NA
Q93008	USP9X	other	proteoscore	0.248086	NA	NA	NA	NA
Q9NQZ2	UTP3	other	proteoscore	-0.739128	NA	NA	NA	NA
Q5ST30	VARS2	other	proteoscore	0.487659	NA	NA	NA	NA
P61758	VBP1	other	proteoscore	-0.350919	NA	NA	NA	NA
Q9H9C1	VIPAS39	other	proteoscore	0.478848	NA	NA	NA	NA
Q9H270	VPS11	other	proteoscore	0.450625	NA	NA	NA	NA
Q9P253	VPS18	other	proteoscore	0.264977	NA	NA	NA	NA
Q96AX1	VPS33A	other	proteoscore	0.341	NA	NA	NA	NA
P49754	VPS41	other	proteoscore	0.536528	NA	NA	NA	NA
Q15906	VPS72	other	proteoscore	-0.642642	NA	NA	NA	NA
Q8IV63	VRK3	kin	proteoscore	0.397033	NA	NA	NA	NA
P42768	WAS	other	proteoscore	-0.967298	NA	NA	NA	NA
O00401	WASL	other	proteoscore	-0.850806	NA	NA	NA	NA
O43379	WDR62	other	proteoscore	-0.64153	NA	NA	NA	NA
Q9BRX9	WDR83	other	proteoscore	-0.398179	NA	NA	NA	NA
P30291	WEE1	kin	VIPER	-0.474404489	NA	NA	NA	NA
Q5MNZ9	WIPI1	other	proteoscore	0.337519	NA	NA	NA	NA
Q9H4A3	WNK1	kin	VIPER	0.27965042	NA	NA	NA	NA
Q96J92	WNK4	kin	VIPER+PhosphoScore	1.48578383	NA	NA	NA	NA
P19544;P19544	WT1	tf	proteoscore	-1.50489	NA	NA	NA	NA
P23025	XPA	other	proteoscore	-0.809865	NA	NA	NA	NA
Q8NBI6	XXYLT1	other	proteoscore	-0.583807	NA	NA	NA	NA
P07947	YES1	kin	VIPER+PhosphoScore	-2.634471038	NA	NA	NA	NA
Q5BJH7	YIF1B	other	proteoscore	-0.565242	NA	NA	NA	NA
Q04917	YWHAH	other	proteoscore	0.282364	NA	NA	NA	NA
O95365	ZBTB7A	tf	proteoscore	-0.562957	NA	NA	NA	NA
Q9Y2X9	ZNF281	tf	proteoscore	-1.02867	NA	NA	NA	NA
Q5VUA4	ZNF318	other	proteoscore	0.360976	NA	NA	NA	NA
Q15942	ZYX	other	proteoscore	-0.590342	NA	NA	NA	NA
NA	ABI2	other	NA	NA	Q9NYB9	proteoscore	0.563236	NA
NA	ABRAXAS1	other	NA	NA	Q6UWZ7	proteoscore	0.732325	NA
NA	ACIN1	other	NA	NA	Q9UKV3	proteoscore	0.322293	NA
NA	ACSS1	other	NA	NA	Q9NUB1	proteoscore	1.20137	NA
NA	ACSS2	other	NA	NA	Q9NR19	proteoscore	0.242488	NA
NA	ACTG1	other	NA	NA	P63261	proteoscore	2.33257	NA
NA	ACTN1	tf	NA	NA	P12814	proteoscore	-0.301622	NA
NA	ACTN4	tf	NA	NA	O43707	proteoscore	-0.422809	NA
NA	ACVR2A	kin	NA	NA	P27037	VIPER	2.378379956	NA
NA	ACVR2B	kin	NA	NA	Q13705	VIPER	2.29872041	NA
NA	ADAM10	other	NA	NA	O14672	proteoscore	-0.528173	NA
NA	ADAM15	other	NA	NA	Q13444	proteoscore	-0.538615	NA
NA	ADNP	tf	NA	NA	Q9H2P0	proteoscore	0.274889	NA
NA	ADSS2	other	NA	NA	P30520	proteoscore	-0.477194	NA
NA	AFF4	other	NA	NA	Q9UHB7	proteoscore	0.457669	NA
NA	AGAP2	other	NA	NA	Q99490;Q99490	proteoscore	0.626244	NA
NA	AGPAT5	other	NA	NA	Q9NUQ2	proteoscore	0.356308	NA
NA	AKAP13	other	NA	NA	Q12802	proteoscore	-1.89478	NA
NA	AKR1C3	other	NA	NA	P42330	proteoscore	1.56243	NA
NA	AKT1S1	other	NA	NA	Q96B36	proteoscore	-2.04255	NA
NA	AKT2	kin	NA	NA	P31751	proteoscore	-0.502949	NA
NA	ALDH3B1	other	NA	NA	P43353	proteoscore	1.11442	NA
NA	ALYREF	other	NA	NA	Q86V81	proteoscore	-0.585803	NA
NA	AMFR	other	NA	NA	Q9UKV5	proteoscore	-0.791169	NA
NA	ANAPC1	other	NA	NA	Q9H1A4	PhosphoScore	-1.40978	NA
NA	ANKRD13A	other	NA	NA	Q8IZ07	proteoscore	0.550025	NA
NA	AP3M2	other	NA	NA	P53677	proteoscore	-0.524315	NA
